source,target,edge_track_name,spotify_track_name,spotify_artists,track_name_conincides,artists_coincides,id,preview,error
Bad Bunny,Omy de Oro,Subimos de Rango,Subimos de Rango,"Omy de Oro, Bad Bunny, Shootter Ledo",TRUE,TRUE,4yZI69ElgxddAUGNJjzc0j,https://p.scdn.co/mp3-preview/642ea980ced069714db08603f743225d78495df6?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Eladio Carrion,Kemba Walker,Kemba Walker,"Eladio Carrion, Bad Bunny",TRUE,TRUE,38kLHBjtWJaPXcyFhwRVtI,https://p.scdn.co/mp3-preview/e66cede5d2a9621b2fbc38da658bd4e4a30c67b5?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Lunay,Soltera - Remix,Soltera - Remix,"Lunay, Daddy Yankee, Bad Bunny",TRUE,TRUE,1c0hsvHLELX6y8qymnpLKL,https://p.scdn.co/mp3-preview/97aa758831ec341e1cfd8f8f507d53422400948c?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Marc Anthony,Está Rico,Está Rico,"Marc Anthony, Will Smith, Bad Bunny",TRUE,TRUE,2wRkBumdItthjYP9XknImg,https://p.scdn.co/mp3-preview/d345cdef8cf053c618aa52d99f26971bd2c1aa98?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Pacho El Antifeka,Como Soy,Como Soy,"Pacho El Antifeka, Daddy Yankee, Bad Bunny",TRUE,TRUE,6l2UmWFHtPqgWq0hnqlfJT,https://p.scdn.co/mp3-preview/147ba666bdd8f44bcd3abc2249f9c76ba9e18925?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,"Héctor ""El Father",Vamos Pa' la Calle,Vamos Pa' la Calle,"Bad Bunny, Héctor ""El Father""",TRUE,TRUE,23mxI8WrJJx5SF1M5HirFX,https://p.scdn.co/mp3-preview/fb7b0f1225651cb1898aac8604ea9acbefc846c8?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Ñejo,¿Cual Es Tu Plan?,¿Cual Es Tu Plan?,"Bad Bunny, Ñejo, Pj Sin Suela, DJ Nelson",TRUE,TRUE,45jM2fuCq0NHD9p7xn0ptd,https://p.scdn.co/mp3-preview/20579555384fd759af8a4a55574664b2493c7cac?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Pj Sin Suela,¿Cual Es Tu Plan?,¿Cual Es Tu Plan?,"Bad Bunny, Ñejo, Pj Sin Suela, DJ Nelson",TRUE,TRUE,45jM2fuCq0NHD9p7xn0ptd,https://p.scdn.co/mp3-preview/20579555384fd759af8a4a55574664b2493c7cac?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,DJ Nelson,¿Cual Es Tu Plan?,¿Cual Es Tu Plan?,"Bad Bunny, Ñejo, Pj Sin Suela, DJ Nelson",TRUE,TRUE,45jM2fuCq0NHD9p7xn0ptd,https://p.scdn.co/mp3-preview/20579555384fd759af8a4a55574664b2493c7cac?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Bryant Myers,Pa Ti,Pa Ti,"Bad Bunny, Bryant Myers",TRUE,TRUE,2QrGCbW0ylj94JfkgLZFlA,https://p.scdn.co/mp3-preview/51b743f1bee8d92ff0befd74667adc72321b01b1?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Casper Magico,Te Boté - Remix,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",TRUE,TRUE,3V8UKqhEK5zBkBb6d6ub8i,https://p.scdn.co/mp3-preview/8dc93bba37297078743568d71b4d920de5ef762c?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Darell,Te Boté - Remix,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",TRUE,TRUE,3V8UKqhEK5zBkBb6d6ub8i,https://p.scdn.co/mp3-preview/8dc93bba37297078743568d71b4d920de5ef762c?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Ozuna,Diles,Diles,"Bad Bunny, Ozuna, Farruko, Arcangel, Ñengo Flow, DJ Luian, Mambo Kingz",TRUE,TRUE,6C1RD7YQVvt3YQj0CmuTeu,https://p.scdn.co/mp3-preview/0a4fa12dea105b71d7e0a9facddc6b8cfe138af5?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Cosculluela,Madura (feat. Bad Bunny),Madura (feat. Bad Bunny),"Cosculluela, Bad Bunny",TRUE,TRUE,0r9d60ZYPAlFHq8qnUtkXN,https://p.scdn.co/mp3-preview/b4f1b725e99b518282c9838369d4b0b75b0519ac?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Noriel,Me Mata,Me Mata,"Bad Bunny, Mambo Kingz, DJ Luian, Arcangel, Almighty, Bryant Myers, Noriel, Baby Rasta, Brytiago",TRUE,TRUE,2wgDAPgBhFA7pnIbm0YOhP,https://p.scdn.co/mp3-preview/f91a153f4e47c4a6fc9fe768fb51593f3a4f8b86?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Brytiago,Me Mata,Me Mata,"Bad Bunny, Mambo Kingz, DJ Luian, Arcangel, Almighty, Bryant Myers, Noriel, Baby Rasta, Brytiago",TRUE,TRUE,2wgDAPgBhFA7pnIbm0YOhP,https://p.scdn.co/mp3-preview/f91a153f4e47c4a6fc9fe768fb51593f3a4f8b86?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Revol,Caile,Caile,"Bad Bunny, Bryant Myers, De La Ghetto, Revol, Zion",TRUE,TRUE,5lr877wwUsB8inLGywHKxa,https://p.scdn.co/mp3-preview/d7c8d8de3dbc302745e4d81b562eab77cc42dd57?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,De La Ghetto,Caile,Caile,"Bad Bunny, Bryant Myers, De La Ghetto, Revol, Zion",TRUE,TRUE,5lr877wwUsB8inLGywHKxa,https://p.scdn.co/mp3-preview/d7c8d8de3dbc302745e4d81b562eab77cc42dd57?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,KHEA,Loca - Remix,Loca - Remix,"KHEA, Bad Bunny, Duki, Cazzu",TRUE,TRUE,2ECIwi1a7mfokdDkkJ08Ne,https://p.scdn.co/mp3-preview/a2deeb347df776468ac9dd12d3c330c6c77804da?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Cazzu,Loca - Remix,Loca - Remix,"KHEA, Bad Bunny, Duki, Cazzu",TRUE,TRUE,2ECIwi1a7mfokdDkkJ08Ne,https://p.scdn.co/mp3-preview/a2deeb347df776468ac9dd12d3c330c6c77804da?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Alex Sensation,Fantasía,Fantasía,"Alex Sensation, Bad Bunny",TRUE,TRUE,72BQwM1wnBQCbjwjRu1rmF,https://p.scdn.co/mp3-preview/961281f3e3c7c684791ac1750359411768a7b0fb?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Benny Benni,El Combo Me Llama 2,El Combo Me Llama 2,"Benny Benni, Daddy Yankee, Bad Bunny, Pusho, Farruko, Noriel, Miky Woodz",TRUE,TRUE,4uuGltp3Z6d0IUxsSf4xFl,https://p.scdn.co/mp3-preview/a94633d6cdb73b06465cb6fa5c55f601dfcb4bd4?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Pusho,El Combo Me Llama 2,El Combo Me Llama 2,"Benny Benni, Daddy Yankee, Bad Bunny, Pusho, Farruko, Noriel, Miky Woodz",TRUE,TRUE,4uuGltp3Z6d0IUxsSf4xFl,https://p.scdn.co/mp3-preview/a94633d6cdb73b06465cb6fa5c55f601dfcb4bd4?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Farruko,Diles,Diles,"Bad Bunny, Ozuna, Farruko, Arcangel, Ñengo Flow, DJ Luian, Mambo Kingz",TRUE,TRUE,6C1RD7YQVvt3YQj0CmuTeu,https://p.scdn.co/mp3-preview/0a4fa12dea105b71d7e0a9facddc6b8cfe138af5?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Miky Woodz,El Combo Me Llama 2,El Combo Me Llama 2,"Benny Benni, Daddy Yankee, Bad Bunny, Pusho, Farruko, Noriel, Miky Woodz",TRUE,TRUE,4uuGltp3Z6d0IUxsSf4xFl,https://p.scdn.co/mp3-preview/a94633d6cdb73b06465cb6fa5c55f601dfcb4bd4?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Natti Natasha,Amantes de una Noche,Amantes de una Noche,"Natti Natasha, Bad Bunny",TRUE,TRUE,2iCOdoyDmWG3hWkbtH1KB2,https://p.scdn.co/mp3-preview/d2ad0210ae892db3c8135f9245a801da054a4120?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Rvssian,Krippy Kush (feat. 21 Savage & Rvssian) - Remix,Krippy Kush (feat. 21 Savage & Rvssian) - Remix,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage, Rvssian",TRUE,TRUE,038kavjqUaGIYZL5lYocvX,https://p.scdn.co/mp3-preview/84abc58de3edbe615b45a5d4fba3ab548c68386d?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,KAROL G,Ahora Me Llama - Remix,Ahora Me Llama - Remix,"KAROL G, Bad Bunny, Quavo",TRUE,TRUE,0mQD5ilmghCieAw6E6YFrd,https://p.scdn.co/mp3-preview/7e7e6ad2ee6824b6215cc8576671e583b51741d3?cid=774b29d4f13844c495f206cafdad9c86,
