id,label,interval,followers,popularity,id,componentnumber,strongcompnum,indegree,outdegree,unique_collabs,weighted_indegree,weighted_outdegree,total_collabs,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks
Pusho,Pusho,,597400,58,2qbEtwBVyobgpNP5KcHE9J,0,66,33,23,56,52,29,81,7,0.304432,0.349253,531.562792,0,0.002354
Farruko,Farruko,,13668381,84,329e4yvIujISKGKz1BZZbO,0,66,103,71,174,287,128,415,7,0.345129,0.413999,17415.812163,0,0.007528
Miky Woodz,Miky Woodz,,3005363,71,1pf0MPKfKdvS8J779mS1Ay,0,66,61,36,97,111,58,169,7,0.325103,0.379675,3491.310113,0,0.004561
Natti Natasha,Natti Natasha,,8162707,76,1GDbiv3spRmZ1XdM1jQbT7,0,66,37,42,79,59,68,127,6,0.348478,0.402511,5568.439458,3,0.003385
Rvssian,Rvssian,,1916829,72,1fctva4kpRbg2k3v7kwRuS,0,66,8,7,15,12,9,21,7,0.28164,0.316248,69.525826,0,0.000789
KAROL G,KAROL G,,27055406,86,790FomKkXshlbRYZFtlgla,0,66,27,35,62,58,85,143,6,0.337463,0.387278,6064.018545,6,0.00221
Becky G,Becky G,,11962419,81,4obzFoKoKRHIphyHzJ35G3,0,66,35,27,62,55,37,92,6,0.330268,0.376477,4506.130306,6,0.002848
Amenazzy,Amenazzy,,2233045,64,6kq4GHwUcUojGIu0ziSNXf,0,66,30,20,50,46,27,73,6,0.303846,0.34673,1682.726805,0,0.002275
Lito Kirino,Lito Kirino,,199869,54,68w2t0wbrGnxSIUHzWs5bt,0,66,12,2,14,20,3,23,8,0.243752,0.264118,120.46715,0,0.001131
Nacho,Nacho,,4627251,66,2ayNSoKPCRAfjp6hQ76hRu,0,66,35,52,87,56,94,150,6,0.361391,0.418312,14920.824028,2,0.002859
DJ Luian,DJ Luian,,1558934,74,64aJYyrXljOodnUG6jvhRD,0,66,17,42,59,43,130,173,7,0.325639,0.382459,581.182868,0,0.00134
Almighty,Almighty,,424279,70,6P6GTRTigHBp8ZesNtpCKH,0,66,24,26,50,50,40,90,7,0.316,0.36305,23503.855618,0,0.002037
Quimico Ultra Mega,Quimico Ultra Mega,,233866,58,3tZdknQnzsVIIdaGCTj4RX,0,66,29,4,33,40,6,46,7,0.248897,0.272447,1191.796925,13,0.00317
Mark B.,Mark B.,,221738,51,0zZJhc1T0zBurhnBwQ2fcu,0,66,8,5,13,8,5,13,7,0.253449,0.279852,798.50442,0,0.001037
Kevin Roldan,Kevin Roldan,,4899214,68,1RBzGO6Nm3uyhUSxP7EDWO,0,66,27,29,56,37,59,96,6,0.325371,0.374473,3072.83427,0,0.002195
Messiah,Messiah,,92608,55,0tR60pwxQ5WKjPxQcKoCQ7,0,66,12,10,22,18,12,30,7,0.279448,0.314352,401.925808,0,0.001441
Baby Rasta,Baby Rasta,,1681183,63,0GgyFUpOyzWDRDqx8FCTDN,0,66,18,11,29,30,17,47,8,0.267887,0.304806,419.383779,0,0.001183
Lary Over,Lary Over,,4445781,66,1jSjfSgDjedJdi5MoyRu78,0,66,20,27,47,44,35,79,7,0.30245,0.35151,744.506778,0,0.001505
Jory Boy,Jory Boy,,1553994,65,5lFhCi03HDneWzvCxGctrT,0,66,34,26,60,65,40,105,7,0.308956,0.356088,939.617342,0,0.002512
