,spotify_id,name_id,name,followers,betweeness_centrality,group,unique_collabs,total_collabs,image
366,6HTUcOExehqydqa7C3usAa,Abel Pintos,Abel Pintos,3158443,3826.758232,5,32,38,https://i.scdn.co/image/ab6761610000e5ebf55f98e211caf7acffcfdd7e
367,4ssUf5gLb1GBLxi1BhPrVt,Jorge Drexler,Jorge Drexler,698808,5395.045649,5,25,40,https://i.scdn.co/image/ab6761610000e5ebda79b27fb7ed372c7df916fc
368,72R3RMGmSmzG57R7OUaDaN,Toby Love,Toby Love,577473,235.570288,1,19,25,https://i.scdn.co/image/ab6761610000e5ebb28d8611e2dd7854d77d8cc9
369,13VwGEitoK8J0qjNjbgeTN,Flex,Flex,233515,844.650314,1,12,9,https://i.scdn.co/image/ab6761610000e5eb3a75d12c95348c6bbfd56c7a
370,6ZK8loFAzWKSFe3b7Lrq4V,Nova y Jory,Nova y Jory,780375,24.571651,0,17,24,https://i.scdn.co/image/ab67616d0000b2735c773ae14a1460b04ae8ab04
371,1Vr7DTbtTpOp4tn4hAGOYo,Lirico En La Casa,Lirico En La Casa,191417,769.565275,0,19,25,https://i.scdn.co/image/ab6761610000e5eb952fcb8be372b671b696b33b
372,3Apb2lGmGJaBmr0TTBJvIZ,Rusherking,Rusherking,910150,2898.122852,2,25,32,https://i.scdn.co/image/ab6761610000e5eb0da6be77755f7dc658759351
373,0dUyjgCyjfj5eMx6bX2TWf,FMK,FMK,889012,4244.809556,2,30,53,https://i.scdn.co/image/ab6761610000e5ebd4b856da002039eb8ce1805a
374,4EcIU574ksr6mC1GMEOe0p,Midel,Midel,323906,34.420082,2,14,16,https://i.scdn.co/image/ab6761610000e5ebf8dc60cf6517ac24c1b2134f
375,3t7UqWteBBmHXkcVhMSyay,Leonel García,Leonel García,654469,6307.847688,5,35,53,https://i.scdn.co/image/ab6761610000e5eb6ae5accfce3af95725a80b75
376,5ClJtuiNlr83ua45Dvpcf7,Santiago Cruz,Santiago Cruz,872699,1435.304842,5,19,23,https://i.scdn.co/image/ab6761610000e5eb8cb8c4a306356d4e72f12e18
377,0K59Fm1y7s3j498ueS4qzY,Soledad,Soledad,412115,5348.798028,5,30,47,https://i.scdn.co/image/ab6761610000e5ebffcd68a1cc895a489f557023
