source,target,edge_track_name,spotify_track_name,spotify_artists,track_name_conincides,artists_coincides,id,preview
Duki,Quevedo,Si Quieren Frontear,Si Quieren Frontear,"Duki, De La Ghetto, Quevedo",TRUE,TRUE,6bQ5823aHmFVKLZW8E7rRo,https://p.scdn.co/mp3-preview/4edc6a79f20b88b68164461ddb04043a43dc2089?cid=774b29d4f13844c495f206cafdad9c86
Duki,Mora,Amor Bipolar,Amor Bipolar,"Duki, Mora",TRUE,TRUE,6sw9J1GKwvdMvsDYMvTiY2,https://p.scdn.co/mp3-preview/fb42a2c2b5f3f1e096c691d3ced4c76143e4c40e?cid=774b29d4f13844c495f206cafdad9c86
Duki,KHEA,She Don't Give a Fo,She Don't Give a Fo,"Duki, KHEA",TRUE,TRUE,03a359wbiUsjN9h6yzXvmS,https://p.scdn.co/mp3-preview/650d899d84f4a6b89a012b8eb931df4a0ea619e3?cid=774b29d4f13844c495f206cafdad9c86
Duki,Emilia,Esto Recién Empieza,Esto Recién Empieza,"Duki, Emilia",TRUE,TRUE,0ZLkb9lDDlTPwYZPvuGnHB,https://p.scdn.co/mp3-preview/b8b2a4aab025bc2140e19de53dcc3556648dfc27?cid=774b29d4f13844c495f206cafdad9c86
Duki,Bizarrap,Malbec,Malbec,"Duki, Bizarrap",TRUE,TRUE,6KEb17S00Inf0v1qYDgUAj,https://p.scdn.co/mp3-preview/3a8a070801aff6e54d3c49b8b3d710c6b83c6ea3?cid=774b29d4f13844c495f206cafdad9c86
Duki,Rels B,YIN YAN,YIN YAN,"Duki, Rels B",TRUE,TRUE,6KGGhJoXrztLp8ZT91zizs,https://p.scdn.co/mp3-preview/c0b1735a27c9ad41fd189e56f94677de9ddc1564?cid=774b29d4f13844c495f206cafdad9c86
Duki,Justin Quiles,Unfollow,Unfollow,"Duki, Justin Quiles, Bizarrap",TRUE,TRUE,6GsD646HrIDJJpzoY9T1Rt,https://p.scdn.co/mp3-preview/f8466197669938d91364f8b4d63cc15f13a16763?cid=774b29d4f13844c495f206cafdad9c86
Duki,YSY A,Pintao,Pintao,"Duki, YSY A, Rei",TRUE,TRUE,0B8yu7yLe1UsXv6gewHRv2,https://p.scdn.co/mp3-preview/1eb82a5235f64aef0a82fa30ded08392e6bca18f?cid=774b29d4f13844c495f206cafdad9c86
Duki,Rei,Pintao,Pintao,"Duki, YSY A, Rei",TRUE,TRUE,0B8yu7yLe1UsXv6gewHRv2,https://p.scdn.co/mp3-preview/1eb82a5235f64aef0a82fa30ded08392e6bca18f?cid=774b29d4f13844c495f206cafdad9c86
Duki,C.R.O,Hijo de la Noche,Hijo de la Noche,"Duki, C.R.O, YSY A",TRUE,TRUE,46xx1V1UK5085ekWgIntp8,https://p.scdn.co/mp3-preview/274b536a53309af79e2eb67f94a5129101484bb1?cid=774b29d4f13844c495f206cafdad9c86
Duki,Ak4:20,BICI,BICI,"Duki, Ak4:20, Juhn, Juanka",TRUE,TRUE,3TBZtPqL5tuOk5QYH9WvvK,https://p.scdn.co/mp3-preview/43604a9bbe7c9b374852b3f957f893aa5d6eaf54?cid=774b29d4f13844c495f206cafdad9c86
Duki,Juhn,BICI,BICI,"Duki, Ak4:20, Juhn, Juanka",TRUE,TRUE,3TBZtPqL5tuOk5QYH9WvvK,https://p.scdn.co/mp3-preview/43604a9bbe7c9b374852b3f957f893aa5d6eaf54?cid=774b29d4f13844c495f206cafdad9c86
Duki,Juanka,BICI,BICI,"Duki, Ak4:20, Juhn, Juanka",TRUE,TRUE,3TBZtPqL5tuOk5QYH9WvvK,https://p.scdn.co/mp3-preview/43604a9bbe7c9b374852b3f957f893aa5d6eaf54?cid=774b29d4f13844c495f206cafdad9c86
Duki,DrefQuila,Sin Culpa (feat.DrefQuila),Sin Culpa (feat.DrefQuila),"Duki, DrefQuila",TRUE,TRUE,03PZ9C7f90TLbDk3dYjBd2,https://p.scdn.co/mp3-preview/27066dba33759aaaabcdc32a58dc34f44d07ee5f?cid=774b29d4f13844c495f206cafdad9c86
Duki,Pablo Chill-E,Goteo - Remix,Goteo - Remix,"Duki, Ronny J, Pablo Chill-E, Capo Plaza, C.R.O, Asan",TRUE,TRUE,5widvMUA2hiilH1RpOl5aM,https://p.scdn.co/mp3-preview/a2aa20f616edde57be13f2c6d56c09cf0d0ab331?cid=774b29d4f13844c495f206cafdad9c86
Duki,Asan,Goteo - Remix,Goteo - Remix,"Duki, Ronny J, Pablo Chill-E, Capo Plaza, C.R.O, Asan",TRUE,TRUE,5widvMUA2hiilH1RpOl5aM,https://p.scdn.co/mp3-preview/a2aa20f616edde57be13f2c6d56c09cf0d0ab331?cid=774b29d4f13844c495f206cafdad9c86
Duki,Neo Pistea,Quavo #Mododiablo,Quavo #Mododiablo,"Duki, YSY A, Neo Pistea",TRUE,TRUE,262lBp5MtK39jc7gQdYrVM,https://p.scdn.co/mp3-preview/c0835eb2e3984d20d5469e78bde4f685dd9439b0?cid=774b29d4f13844c495f206cafdad9c86
Duki,Obie Wanshot,H.I.E.L.O.,H.I.E.L.O.,"Duki, Obie Wanshot",TRUE,TRUE,6itjKRbqPMmx9fo4PDlLhm,https://p.scdn.co/mp3-preview/52124691ae0a3b60b31e159df3a67ea2c9783f61?cid=774b29d4f13844c495f206cafdad9c86
Duki,C. Tangana,It's a Vibe,It's a Vibe,"Duki, C. Tangana, KHEA, Leebrian",TRUE,TRUE,6HvD8JhIe9Mq6gyql32rYb,https://p.scdn.co/mp3-preview/00da903563665226a7d2fa43c7a04f102df5cd08?cid=774b29d4f13844c495f206cafdad9c86
Duki,Leebrian,It's a Vibe,It's a Vibe,"Duki, C. Tangana, KHEA, Leebrian",TRUE,TRUE,6HvD8JhIe9Mq6gyql32rYb,https://p.scdn.co/mp3-preview/00da903563665226a7d2fa43c7a04f102df5cd08?cid=774b29d4f13844c495f206cafdad9c86
Duki,Lara91k,Sol,Sol,"Duki, Lara91k",TRUE,TRUE,41tkGjGDeoInSqQTFTPluG,https://p.scdn.co/mp3-preview/ca9cd6d353598c8fc88b3f4a212b2c9d78fdeed9?cid=774b29d4f13844c495f206cafdad9c86
Duki,Mesita,Ella Es Mi Bitch,Ella Es Mi Bitch,"Duki, Pekeño 77, Mesita, Franux BB, 44 Kid",TRUE,TRUE,6gAhoYC40nPWRXfc5Gq04H,https://p.scdn.co/mp3-preview/20907c4c0517f0bb9a5dd3d3c1ad95a11dc543b9?cid=774b29d4f13844c495f206cafdad9c86
Duki,Lucho SSJ,Cuanto,Cuanto,"Duki, Lucho SSJ, Farina",TRUE,TRUE,1wpEE0aGB9p8uNHRtmpqMc,https://p.scdn.co/mp3-preview/67db3a5722d4fa3a6074de286a68877a0c839085?cid=774b29d4f13844c495f206cafdad9c86
Duki,Farina,Cuanto,Cuanto,"Duki, Lucho SSJ, Farina",TRUE,TRUE,1wpEE0aGB9p8uNHRtmpqMc,https://p.scdn.co/mp3-preview/67db3a5722d4fa3a6074de286a68877a0c839085?cid=774b29d4f13844c495f206cafdad9c86
Duki,Fuego,Café,Café,"Duki, Fuego, LUYO",TRUE,TRUE,2vHfWA1QJh66ln7dhy4QUN,https://p.scdn.co/mp3-preview/2df07856f14ffb0f7197315b747de331fa1aef41?cid=774b29d4f13844c495f206cafdad9c86
Duki,Julianno Sosa,Fifty Fifty,Fifty Fifty,"Duki, Pablo Chill-E, Obie Wanshot, Neo Pistea, Julianno Sosa, Young Cister",TRUE,TRUE,5B84PuLYzNjHvfy5EpgsfW,https://p.scdn.co/mp3-preview/b9849bb0678ceb2f359a7bca3ce40b5325238b44?cid=774b29d4f13844c495f206cafdad9c86
