source,target,type,id,label,timeset,weight,colab_track_popularity,colab_track_name,colab_track
Lyan,Messiah,Directed,7777,,,1,17,Abajo - Remix,"[[""Abajo - Remix"", 17]]"
Lyan,"Franco ""El Gorilla""",Directed,7778,,,1,17,Abajo - Remix,"[[""Abajo - Remix"", 17]]"
Lyan,Nio Garcia,Directed,7779,,,2,21,Dembow,"[[""Dembow"", 21], [""Dembow"", 19]]"
Lyan,Revol,Directed,7781,,,1,17,Ella Fuma,"[[""Ella Fuma"", 17]]"
Lyan,Juhn,Directed,7782,,,1,14,Fuma Conmigo,"[[""Fuma Conmigo"", 14]]"
Lyan,Sinfonico,Directed,7783,,,1,14,Sinfonico Presenta: Jack Se Compro Un Full - Lyan El Bebesi Remix,"[[""Sinfonico Presenta: Jack Se Compro Un Full - Lyan El Bebesi Remix"", 14]]"
Malú,Maluma,Directed,7791,,,136,82,Nos Comemos Vivos,"[[""Nos Comemos Vivos"", 82], [""Sobrio"", 82], [""Haw\u00e1i - Remix"", 73], [""Haw\u00e1i"", 77], [""11 PM"", 75], [""Mojando Asientos (feat. Feid)"", 79], [""Felices los 4"", 74], [""Haw\u00e1i"", 76], [""Borro Cassette"", 74], [""Aloha"", 73], [""HP"", 72], [""Nos Comemos Vivos"", 73], [""Coraz\u00f3n (feat. Nego do Borel)"", 70], [""Madrid (feat. Myke Towers)"", 70], [""Parce (feat. Justin Quiles)"", 72], [""Mojando Asientos (feat. Feid)"", 70], [""El Perdedor"", 68], [""Mala M\u00eda"", 66], [""Cositas de la USA"", 69], [""Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)"", 68], [""El Pr\u00e9stamo"", 65], [""ADMV"", 70], [""Felices los 4 (feat. Marc Anthony) - Salsa Version"", 63], [""Agua de Jamaica"", 65], [""Qu\u00e9 Pena"", 64], [""Un Polvo (feat. Bad Bunny, Arc\u00e1ngel, \u00d1engo Flow & De La Ghetto)"", 66], [""Mama Tetema (feat. Rayvanny)"", 67], [""Tsunami (feat. Arcangel & De La Ghetto)"", 67], [""No Se Me Quita (feat. Ricky Martin)"", 67], [""Sexo Sin Titulo (feat. Jay Wheeler & Lenny Tav\u00e1rez)"", 63], [""La Temperatura (feat. Eli Palacios)"", 64], [""ADMV - Versi\u00f3n Urbana"", 60], [""Cositas de la USA"", 62], [""Sin Contrato"", 64], [""Marinero"", 64], [""ADMV"", 63], [""Qu\u00e9 Chimba"", 60], [""Te Quiero"", 57], [""GPS (feat. French Montana)"", 63], [""Mal de Amores"", 60], [""ADMV - Versi\u00f3n Urbana"", 58], [""La Vida es Bella"", 58], [""Happy Birthday"", 57], [""Carnaval"", 61], [""Segundo"", 53], [""Dispuesto (feat. Ozuna)"", 53], [""Mala M\u00eda - Remix"", 55], [""Cielo a un Diablo"", 58], [""Rumba (Puro Oro Anthem)"", 56], [""Sin Contrato (feat. Fifth Harmony)"", 57], [""Instinto Natural (feat. Sech)"", 55], [""Bella-K (feat. Zion & Randy)"", 53], [""La Flaca (feat. Chencho Corleone)"", 52], [""1 en 1 Mill\u00f3n"", 50], [""Tonika (feat. Ziggy Marley)"", 52], [""Perd\u00f3n (feat. Yandel)"", 52], [""No Puedo Olvidarte (feat. Nicky Jam)"", 51], [""Mai Mai (feat. \u00d1engo Flow & Jory Boy)"", 56], [""L.N.E.M. (GATA) (feat. Kapla y Miky, Philip Ariaz & Blessd)"", 54], [""Hangover (feat. Prince Royce)"", 50], [""Lonely"", 51], [""Tu Vecina (feat. Ty Dolla $ign)"", 48], [""Felices los 4 - Urban Version"", 49], [""Ojos Que No Ven"", 50], [""Sin Contrato (feat. Don Omar & Wisin) - Remix"", 51], [""Desayun-Arte"", 52], [""Vitamina (feat. Arc\u00e1ngel)"", 53], [""Me Enamor\u00e9 de Ti"", 49], [""Medallo City"", 49], [""La Curiosidad"", 54], [""Pretextos (feat. Cosculluela)"", 54], [""El Tiki"", 52], [""Peligrosa"", 51], [""Mi Declaraci\u00f3n (feat. Timbaland & Sid)"", 50], [""La Cura"", 49], [""Extra\u00f1\u00e1ndote (feat. Zion & Lennox)"", 48], [""Salida de Escape"", 48], [""Luz Verde"", 48], [""Vete Vete (feat. \u00d1ejo & D\u00e1lmata)"", 50], [""Ansiedad"", 47], [""Shhh (Calla')"", 47], [""Obsesi\u00f3n"", 55], [""Me Acuerdo de Ti (feat. Darell)"", 47], [""D\u00e9jale Saber"", 46], [""Cuenta a Saldo"", 45], [""Tengo un Amor (feat. Leslie Grace)"", 47], [""El Perdedor (feat. Yandel) - The Remix"", 48], [""Love (feat. Charly Black)"", 48], [""23"", 51], [""Ya No Es Ni\u00f1a"", 49], [""Cuidau (feat. Yomo)"", 47], [""Delincuente"", 45], [""La Ex (feat. Jason Derulo)"", 45], [""Me Gustas"", 46], [""Una Aventura (feat. Alexis & Fido)"", 46], [""Chocolate"", 45], [""\u00bfD\u00f3nde Est\u00e1s? (feat. Farruko)"", 46], [""Quality"", 45], [""Copas de Vino"", 45], [""Puesto Pa' Ti (feat. Farina)"", 44], [""La Misma Moneda"", 44], [""Booty"", 44], [""La Burbuja"", 44], [""Carnaval"", 49], [""Addicted"", 50], [""Soltera (feat. Madonna)"", 44], [""Viento (Interlude)"", 44], [""How I Like It"", 41], [""Recu\u00e9rdame"", 43], [""Dinero Tiene Cualquiera"", 42], [""Boy Toy"", 44], [""Unfollow"", 41], [""Vamo' a Goz\u00e1rnola"", 42], [""Condena"", 40], [""El Perdedor (feat. Bruninho & Davi)"", 42], [""Felices los 4"", 42], [""Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)"", 43], [""Tu Cari\u00f1o (feat. Arc\u00e1ngel)"", 42], [""Solos (feat. El Micha)"", 41], [""Tus Besos - Remix"", 43], [""Miss Independent"", 45], [""Vuelo Hacia el Olvido"", 40], [""Pasarla Bien"", 42], [""Parce (feat. Justin Quiles)"", 41], [""Borro Cassette - Versi\u00f3n Salsa Choke"", 37], [""Climax"", 38], [""Me gustas tanto"", 39], [""El Perdedor - X Version"", 35], [""Felices los 4 - Banda Version"", 33], [""Intro - F.A.M.E."", 32], [""Felices los 4 - Pop Version"", 31], [""Segundo"", 29], [""El Punto (feat. Luigi 21)"", 33], [""Farandulera"", 34], [""Obsesi\u00f3n (feat. Dyland & Lenny) - Version Remix"", 34], [""Loco"", 32]]"
Malú,Feid,Directed,7792,,,2,79,Mojando Asientos (feat. Feid),"[[""Mojando Asientos (feat. Feid)"", 79], [""Mojando Asientos (feat. Feid)"", 70]]"
Malú,Beéle,Directed,7793,,,1,73,Aloha,"[[""Aloha"", 73]]"
Malú,Rauw Alejandro,Directed,7794,,,1,73,Aloha,"[[""Aloha"", 73]]"
