id,label,interval,followers,popularity,id,componentnumber,strongcompnum,indegree,outdegree,unique_collabs,weighted_indegree,weighted_outdegree,total_collabs,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks
Maluma,Maluma,,31679634,83,1r4hJ1h58CWwUQe3MxPuau,0,22,55,43,98,265,59,324,7,0.326234,0.385898,8573.993246,5,0.005696
Tokischa,Tokischa,,164515,63,2p4aN0Uxkk3iT3HK0cJ2cJ,0,22,10,6,16,12,6,18,7,0.261038,0.291797,755.865086,0,0.002073
Wisin,Wisin,,7959899,76,3E6xrwgnVfYCrCs0ePERDz,0,22,74,53,127,174,280,454,7,0.360621,0.421874,23198.162336,1,0.007053
Yandel,Yandel,,6046630,74,0eHQ9o50hj6ZDNBt6Ys1sD,0,22,61,56,117,222,241,463,7,0.34511,0.409831,10188.497807,1,0.006485
Jay Wheeler,Jay Wheeler,,2689321,78,2cPqdH7XMvwaBJEVjheH8g,0,22,40,20,60,90,85,175,7,0.302649,0.347792,1513.912087,0,0.003846
Feid,Feid,,1695286,84,2LRoIwlKmHjgvigdNGBHNo,0,22,20,24,44,62,88,150,7,0.318827,0.365444,2914.925204,0,0.001995
Jesse & Joy,Jesse & Joy,,6461919,73,1mX1TWKpNxDSAH16LgDfiR,0,22,5,7,12,13,12,25,7,0.281655,0.310032,419.089818,5,0.000818
Juan Magán,Juan Magán,,1687332,68,1ackd5XprZEkH3McKbQD51,0,22,23,24,47,77,105,182,7,0.312326,0.359118,6150.060871,3,0.001705
Boza,Boza,,443910,68,2NfSBtmWe7oPw1EmetJVso,0,22,9,4,13,31,8,39,8,0.246706,0.273679,77.102652,3,0.000892
Romeo Santos,Romeo Santos,,15925967,78,5lwmRuXgjX8xIwlnauTZIP,0,22,16,19,35,25,37,62,7,0.292408,0.330988,8232.778668,1,0.003013
Manuel Turizo,Manuel Turizo,,9935945,79,0tmwSHipWxN12fsoLcFU3B,0,22,39,17,56,108,27,135,7,0.294195,0.337025,550.162457,3,0.004101
Anthony Santos,Anthony Santos,,727810,60,06TVTkMAOR935MhkjX0i2A,0,22,13,4,17,22,3,25,8,0.239347,0.259909,76.765445,1,0.001178
Camilo,Camilo,,15876653,80,28gNT5KBp7IjEOQoevXf9N,0,22,18,13,31,69,158,227,7,0.306782,0.340024,8119.288257,5,0.001864
Ele A El Dominio,Ele A El Dominio,,1254042,63,4SzD0wClEg9NKVJZbCRFqS,0,22,26,14,40,55,38,93,7,0.284029,0.32595,432.888796,0,0.002344
Juanka,Juanka,,596725,66,3Wb38LDP3N4tkobValgE9D,0,22,51,21,72,141,33,174,7,0.287911,0.334344,2267.57299,0,0.004263
Plan B,Plan B,,1925599,76,2jSGzJw0ebJLu7OLVSOcBP,0,22,31,17,48,56,20,76,7,0.297703,0.339236,354.106297,0,0.003682
Lunay,Lunay,,6990918,73,47MpMsUfWtgyIIBEFOr4FE,0,22,24,20,44,40,58,98,7,0.295874,0.339077,1456.213131,0,0.002984
Lyanno,Lyanno,,710772,70,1Ts9of7VPZElwPQnqnDSfW,0,22,51,24,75,193,48,241,7,0.305669,0.354359,2837.505823,0,0.004675
Natti Natasha,Natti Natasha,,8103229,75,1GDbiv3spRmZ1XdM1jQbT7,0,22,29,22,51,65,34,99,7,0.325919,0.37028,5080.698573,1,0.004601
Ovi,Ovi,,733167,66,4o0NtnL2m0lzZmEdRas1qv,0,22,9,24,33,26,31,57,7,0.323572,0.371231,2149.510127,0,0.001433
Pusho,Pusho,,594124,58,2qbEtwBVyobgpNP5KcHE9J,0,22,45,25,70,71,40,111,7,0.304152,0.35113,554.749125,0,0.003795
Alexio,Alexio,,51746,55,4Tw0VaV1ENei24iQnktjXj,0,22,25,13,38,36,24,60,7,0.297309,0.336654,94.741472,0,0.002028
Darell,Darell,,3045302,75,1TtXnWcUs0FCkaZDPGYHdf,0,22,72,38,110,233,79,312,7,0.302242,0.360011,3795.203271,0,0.007991
Luigi 21 Plus,Luigi 21 Plus,,999191,58,77GVmrLGuxNEvj2ibvT62v,0,22,39,22,61,42,50,92,7,0.294323,0.341342,601.766038,0,0.003166
Baby Rasta & Gringo,Baby Rasta & Gringo,,2674589,62,3IEvQoAohcGX7CdrbtIle7,0,22,16,31,47,168,57,225,7,0.307482,0.356952,259.51602,0,0.001144
R.K.M & Ken-Y,R.K.M & Ken-Y,,495575,62,3jFjgKOGfVLWfXX8q5wrsg,0,22,20,14,34,101,35,136,7,0.27443,0.309715,707.301488,1,0.002196
Rochy RD,Rochy RD,,636103,64,4riOEaOW5hCeqomFDBk0aP,0,22,9,11,20,19,24,43,7,0.283193,0.318458,463.322966,0,0.001011
Dalex,Dalex,,4214151,75,0KPX4Ucy9dk82uj4GpKesn,0,22,36,31,67,114,113,227,7,0.316283,0.367363,1682.568963,0,0.003734
D.OZi,D.OZi,,191168,50,7a9gFzWS5uEHtbNNgA6xyM,0,22,28,22,50,48,39,87,7,0.293299,0.340699,545.153331,0,0.002336
Benny Benni,Benny Benni,,280449,50,5gUZ67Vzi1FV2SnrWl1GlE,0,22,19,38,57,40,95,135,7,0.305115,0.362297,458.998618,0,0.002076
"Gotay ""El Autentiko""","Gotay ""El Autentiko""",,545974,60,6ieK9Ddas29reReO60on3o,0,22,29,21,50,51,90,141,7,0.302921,0.348103,711.431747,0,0.002507
Beéle,Beéle,,391273,71,7a0XAaPaK2aDSqa8p3QnC7,0,22,16,4,20,21,4,25,8,0.258634,0.285373,313.497279,3,0.001534
Lenny Tavárez,Lenny Tavárez,,1878805,80,1pQWsZQehhS4wavwh7Fnxd,0,22,45,36,81,121,161,282,7,0.306503,0.365081,2732.857702,0,0.004341
Justin Quiles,Justin Quiles,,3628451,80,14zUHaJZo1mnYtn6IBRaRP,0,22,58,38,96,223,148,371,7,0.325761,0.379889,5031.349109,0,0.005286
Trap Capos,Trap Capos,,348975,59,2pQAUIesBqfT87PaM1ijtk,0,22,2,27,29,4,76,80,7,0.303058,0.352837,214.606933,0,0.000366
Juhn,Juhn,,1023366,71,2LmcxBak1alK1bf7d1beTr,0,22,42,24,66,76,39,115,7,0.29381,0.344012,1812.275274,0,0.003937
Marc Anthony,Marc Anthony,,7591521,75,4wLXwxDeWQ8mtUIRPxGiD6,0,22,21,2,23,40,1,41,7,0.250651,0.272767,854.503514,5,0.002956
Ricky Martin,Ricky Martin,,6689123,73,7slfeZO9LsJbWgpkIoXBUJ,0,22,12,39,51,14,50,64,6,0.352142,0.405539,13133.455684,5,0.001084
Becky G,Becky G,,11880030,81,4obzFoKoKRHIphyHzJ35G3,0,22,25,23,48,51,35,86,7,0.299955,0.347919,2042.126903,1,0.002838
Randy,Randy,,272813,67,7qYeIN2r4H1kBvr0Gm9Iav,0,22,46,22,68,99,53,152,7,0.289892,0.337746,964.23532,0,0.004289
Jory Boy,Jory Boy,,1544144,65,5lFhCi03HDneWzvCxGctrT,0,22,43,28,71,74,51,125,7,0.31378,0.363544,1192.016963,0,0.003889
Blessd,Blessd,,933788,74,1TA5sGRlKUJXBN4ZyJuDIX,0,22,7,17,24,7,16,23,7,0.293554,0.33694,1692.901944,0,0.00099
Dalmata,Dalmata,,1361483,62,3jGlU8UMMo44I2xeLQ6FD3,0,22,14,13,27,26,120,146,7,0.27657,0.313834,314.693911,0,0.001283
Leslie Grace,Leslie Grace,,1193017,60,6BeO1KuAWBqFriL1mLHtNc,0,22,8,11,19,10,15,25,7,0.286687,0.320531,496.860111,3,0.00072
Yomo,Yomo,,836374,56,4myAXQmMuS1lZe8T6Y7eBg,0,22,47,19,66,74,25,99,7,0.301296,0.344899,1018.174111,0,0.003129
Alexis y Fido,Alexis y Fido,,4483556,63,7tU1VKOuxiNZwBZC6RHidA,0,22,24,39,63,45,92,137,7,0.316878,0.373396,3667.029426,1,0.002127
Farina,Farina,,319611,60,7cYik4OyfBXYV5Z2TI7p90,0,22,21,13,34,24,20,44,7,0.296916,0.334637,4458.475074,0,0.002186
J Alvarez,J Alvarez,,4713924,66,6XFITTl7cFTdopDY3lUdlY,0,22,53,33,86,123,48,171,6,0.322026,0.371612,4701.198022,0,0.004121
Pitbull,Pitbull,,9456009,82,0TnOYISbd1XYRBk9myaseg,0,22,37,27,64,75,41,116,7,0.321258,0.369503,10741.594418,1,0.005172
Tego Calderon,Tego Calderon,,3405813,69,3SUT1jjM5hzZj9TLfLZGIP,0,22,36,16,52,63,25,88,7,0.30333,0.342734,7431.391352,1,0.004385
Noriega,Noriega,,22384,58,3P4VNQLuN1qQQnL8rMaIkL,0,22,7,11,18,29,10,39,8,0.260937,0.296153,55.02768,1,0.000602
Natalia Jiménez,Natalia Jiménez,,694739,63,0j8QSBQZ9MNSGjHr1Vll1R,0,22,13,6,19,15,10,25,7,0.296394,0.327551,3434.518731,5,0.001476
Don Chezina,Don Chezina,,327295,53,1ljNTY4uIBecRJmy69UNWt,0,22,14,7,21,24,9,33,7,0.282481,0.314176,1332.912464,1,0.001399
