,spotify_id,name_id,name,followers,popularity,betweeness_centrality,group,unique_collabs,total_collabs,image
163,2DspEsT7UXGKd2VaaedgG4,Alex Rose,Alex Rose,3003742,70,2091.024546,0,65,108,https://i.scdn.co/image/ab6761610000e5ebc2a62a14000269ff2fa656f6
164,4Tw0VaV1ENei24iQnktjXj,Alexio,Alexio,51861,55,242.07665,0,25,37,https://i.scdn.co/image/ab6761610000e5eba0dc56019927cd7c7feeeeb3
165,7rNbdH4pgrnwguvzxhA2Ek,Jorge Celedón,Jorge Celedón,1457991,60,10266.154392,6,33,38,https://i.scdn.co/image/ab6761610000e5ebcfebd17475e8a86c6148b063
166,05xSLrRgGwm2nCH2SmnNMW,Rosario,Rosario,667825,63,4705.373108,6,20,28,https://i.scdn.co/image/ab6761610000e5eba9298a06d6f6e4f4a54c0af2
167,0zO8yNnw5GQgutcIyXfGBY,ELENA ROSE,ELENA ROSE,14549,52,0.0,2,3,4,https://i.scdn.co/image/ab6761610000e5ebe5ec8cbda1a5b0fbfe265d76
168,7eLcDZDYHXZCebtQmVFL25,Aitana,Aitana,2143802,77,4152.556504,2,30,45,https://i.scdn.co/image/ab6761610000e5ebe20d1e9d7eb5b59dd2586997
169,5J7rXWjtn5HzUkJ4Jet8Fr,Alvaro Diaz,Alvaro Diaz,199766,67,4364.898344,2,40,58,https://i.scdn.co/image/ab6761610000e5eb364f118b7f989c6581411474
170,0BqURncJM5B1BBu7UM51eq,Guaynaa,Guaynaa,727618,68,16789.088095,0,76,113,https://i.scdn.co/image/ab6761610000e5eb710db427ce36c07d6902f1e9
171,5M9Bb4adKAgrOFOhc05Y50,Pablo Alborán,Pablo Alborán,4506260,73,1575.166175,6,20,31,https://i.scdn.co/image/ab6761610000e5eb603fdedea1dab4c77d7d8bcc
172,264nbMzGPSkDZqTY8nXwCG,Tommy Torres,Tommy Torres,851711,61,2379.778859,6,16,21,https://i.scdn.co/image/ab6761610000e5eb3ad2fd00f1e96ce0219af074
173,0ZHPrnImGh4re3TbSNkoZl,Beret,Beret,2629872,69,4374.883866,2,26,34,https://i.scdn.co/image/ab6761610000e5ebbe52891d50a358943a830701
174,5DUlefCLzVRzNWaNURTFpK,Cali Y El Dandee,Cali Y El Dandee,3640516,70,4892.802197,2,56,108,https://i.scdn.co/image/ab6761610000e5eba77fda338041d3024a2316e9
175,0AqlFI0tz2DsEoJlKSIiT9,Emilia,Emilia,845978,72,5452.810279,10,34,48,https://i.scdn.co/image/ab6761610000e5ebaf96d1453d77d1d758c224bd
176,2wkoKEfS6dXwThbyTnZWFU,Mau y Ricky,Mau y Ricky,5293018,73,7665.138339,6,70,100,https://i.scdn.co/image/ab6761610000e5eb58efe6fc6305da076d48ec7f
177,5xSx2FM8mQnrfgM1QsHniB,Danna Paola,Danna Paola,3905733,72,5432.284444,2,35,52,https://i.scdn.co/image/ab6761610000e5eb2d559a99261562a0a22d1a8a
178,5C4PDR4LnhZTbVnKWXuDKD,Morat,Morat,6332470,81,6217.143189,2,35,58,https://i.scdn.co/image/ab6761610000e5ebeb27e0d833dcc24c376cb24c
