,source,target,weight,track_name,artists,preview,source_id,target_id,track_id
25,Bad Bunny,El Alfa,1,La Romana,"Bad Bunny, El Alfa",https://p.scdn.co/mp3-preview/f03e5195be95735ef839d1003044263517808900?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,2oQX8QiMXOyuqbcZEFsZfm,1khmgu0pveJbkbpbkyvcQv
26,Bad Bunny,Julieta Venegas,1,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Tainy, Bad Bunny, Julieta Venegas",https://p.scdn.co/mp3-preview/997d024aaabd3188e9842acc0c358df5e1460df7?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,2QWIScpFDNxmS6ZEMIUvgm,4gzsuuZypVbxs0Af1LSZyB
27,Bad Bunny,Aventura,1,Volví,"Aventura, Bad Bunny",https://p.scdn.co/mp3-preview/e1b8dd8e6f703ba1f3b2c56807b64002ac4868a6?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,1qto4hHid1P71emI6Fd8xi,2vmfvSoZBFAt9hhRoEByLi
28,Bad Bunny,Nio Garcia,2,AM Remix,"Nio Garcia, J Balvin, Bad Bunny",https://p.scdn.co/mp3-preview/653fe766f66b6357c2b8495848d97be9f91e0c99?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,5hdhHgpxyniooUiQVaPxQ0,05bfbizlM5AX6Mf1RRyMho
29,Bad Bunny,Luar La L,1,100 MILLONES,"Bad Bunny, Luar La L",https://p.scdn.co/mp3-preview/a3a23a1f1902a31ac72c017c0671c7590e0b9241?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,4axKuDPr6WKcDCyh8vueTY,4Ixc50wY5pbUvNEogTQ2wL
30,Bad Bunny,Ivy Queen,1,Yo Perreo Sola - Remix,"Bad Bunny, Nesi, Ivy Queen",https://p.scdn.co/mp3-preview/3e3b16b6385dc11ef5daeb942728de9e821559e9?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,6p2442ymrT9lZEuCZJdYcH,2cpteAYHcd4cjSxAeCkA52
31,Bad Bunny,Ricky Martin,1,Cántalo,"Ricky Martin, Residente, Bad Bunny",https://p.scdn.co/mp3-preview/ea7463a8737246abd7bdfbf2ca0cc33000d0c926?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,7slfeZO9LsJbWgpkIoXBUJ,7MkFd0UDHlILDrhBjGZH5K
32,Bad Bunny,Omy de Oro,1,Subimos de Rango,"Omy de Oro, Bad Bunny, Shootter Ledo",https://p.scdn.co/mp3-preview/642ea980ced069714db08603f743225d78495df6?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,65jIUih0ZeTUJhSTRuYxpi,4yZI69ElgxddAUGNJjzc0j
33,Bad Bunny,Eladio Carrion,1,Kemba Walker,"Eladio Carrion, Bad Bunny",https://p.scdn.co/mp3-preview/e66cede5d2a9621b2fbc38da658bd4e4a30c67b5?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,5XJDexmWFLWOkjOEjOVX3e,38kLHBjtWJaPXcyFhwRVtI
34,Bad Bunny,Lunay,1,Soltera - Remix,"Lunay, Daddy Yankee, Bad Bunny",https://p.scdn.co/mp3-preview/97aa758831ec341e1cfd8f8f507d53422400948c?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,47MpMsUfWtgyIIBEFOr4FE,1c0hsvHLELX6y8qymnpLKL
